team_name,accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,id,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards
Arsenal,415,152,359.09054965,3909,653,880.62627245,7311,6461,13772,1955.3582630800001,565,1073.8943485300001,539,538,47,0,0,1597,75,68,156,110,835,1,0,293,189,1634,5,21,40.46802158,61.713,362,0,261.717793389,197,63,110,-1.9275,1191,1214.73403963,15,33,11,52438086,2615,259,377,14,386,34845,60,98,1,4,4,0,200.0,0,4,0,2,4409,171,8,165.18392043400002,0,34,32,42,14,57,0,10,13468.6714286,0.0,7,374,140,183,175,257,1169.29722778,32,571,321,1317.88580031,373,850,534,638,1756,1192.67976306,1578,9358,7029,16387,514,32,22856,371,45,0
Aston Villa,502,126,366.690186153,3335,703,1250.80161868,6497,7100,13597,2416.39178442,436,1277.98607051,424,542,33,0,0,1539,55,51,132,59,720,1,1,351,225,1617,13,22,31.89735146,43.1847,348,2,155.69773045,286,45,78,3.1867,1157,1488.67395476,7,48,12,65588967,2339,223,338,12,384,34644,38,134,1,1,0,3,0.0,2,0,1,0,4150,115,12,195.59114376,1,26,29,61,42,105,1,25,6068.4772727,45.0,13,269,167,159,145,217,1091.98514187,28,527,306,1315.79184721,337,1027,500,564,1593,1491.96662127,1504,8192,7744,15936,436,22,22240,431,56,0
Bournemouth,455,122,312.00378043,2877,678,803.8179734,5754,5373,11127,1926.24919805,551,933.74984267,630,524,29,0,0,1718,51,42,132,63,1067,2,1,258,243,1780,3,14,30.6127334,51.4883,375,1,150.215436999,274,44,73,-2.655,1150,1169.65062548,5,30,14,55355907,2794,335,310,17,365,33090,55,136,3,2,4,5,200.0,6,4,0,4,4596,142,33,167.775633926,1,22,23,63,35,101,2,24,11000.9166666,16.66666667,18,258,180,167,139,243,1026.33142548,21,576,335,1225.63124895,308,1017,534,665,1701,1118.24344357,1823,7915,6006,13921,438,13,20738,340,75,0
Brentford,510,173,448.15716191,2289,829,1046.76252517,4798,6210,11008,1881.99914289,688,994.96612529,670,510,32,0,2,1759,82,65,89,83,1014,0,1,280,240,1846,8,16,33.47942148,56.8972,359,0,185.725638258,266,50,82,-3.9745999999999997,1036,1165.89557863,9,20,15,56620949,2879,310,279,13,385,34803,54,141,3,6,10,7,88.88888889,7,8,3,8,4819,110,27,168.040694599,1,28,14,56,35,94,1,17,14075.1857143,0.0,9,284,92,147,140,225,1034.5477961,14,504,296,1115.74632369,273,1044,546,631,1724,1140.63520314,2028,6999,6888,13887,376,16,20656,317,63,0
Brighton &amp; Hove Albion,549,167,455.29017428000003,3028,717,1126.81866597,6094,7751,13845,2109.93814132,514,1105.82474128,516,550,31,0,1,1724,58,52,119,62,852,0,0,300,316,1828,11,23,31.55422085,52.5189,427,1,246.933891021,274,48,79,2.931,1226,1264.26260198,6,21,13,60520768,2687,299,336,12,386,35040,60,106,4,6,5,6,233.33333333000002,6,3,1,3,4555,178,14,182.341930983,0,30,20,72,23,99,0,16,13662.3102564,33.33333333,13,295,154,170,160,251,1277.95144197,18,638,386,1542.24585043,330,1088,543,635,1740,1266.48031739,1653,8112,8420,16532,449,17,23272,344,85,0
Burnley,445,108,444.085656773,2330,754,1147.45310501,5005,5780,10785,2100.66509006,550,1180.84994135,649,548,25,0,0,1600,43,29,107,26,1077,0,2,306,282,1820,11,21,19.50190697,29.757199999999997,355,0,200.082172655,368,32,57,-3.3121,1064,1294.9724409,6,24,9,60448036,2869,325,246,12,390,35288,56,170,4,0,2,7,100.0,7,2,0,1,4661,91,42,178.945210653,3,14,15,85,40,127,2,30,8812.7619047,0.0,15,200,121,110,104,178,1052.70536302,14,590,335,1432.68111373,246,980,428,493,1614,1296.21062815,1973,7157,6497,13654,321,9,20333,310,58,1
Chelsea,489,137,508.311682366,3808,731,1252.12729649,7849,8837,16686,2317.86081347,475,1313.08858486,457,530,36,0,1,1619,71,53,161,63,787,0,4,284,213,1606,8,23,40.16374482,64.9272,374,2,168.810139139,220,53,89,1.849,1182,1409.038271,10,39,17,61194416,2410,338,366,22,384,34325,52,97,0,5,8,2,183.33333333000002,2,7,0,6,4197,131,8,183.06202945,7,21,27,69,25,97,0,21,10742.2194445,114.28571429,19,323,161,169,154,251,1058.06248718,25,543,309,1334.80292682,361,948,548,653,1657,1399.05116683,1589,9570,9526,19096,484,23,25584,397,77,3
Crystal Palace,346,127,350.75211377,2241,641,1024.20877538,4678,5311,9989,1918.57015803,656,1057.19265121,744,523,21,0,1,1555,61,61,115,92,1080,0,1,322,271,1935,6,22,32.86601706,55.2923,400,0,126.277838926,243,36,57,3.0391,1102,1220.74009131,9,22,15,60795581,2919,263,272,5,379,34526,81,95,2,2,9,7,350.0,7,8,1,5,4700,116,31,181.090271911,2,22,22,69,27,97,1,13,13524.8214286,0.0,6,299,106,158,132,154,1027.28915045,22,632,378,1434.8580899,270,784,381,572,1758,1193.13044318,1753,6881,6027,12908,405,18,19589,324,69,1
Everton,436,135,376.91581856,2939,759,946.69760928,5597,5064,10661,1749.59447547,761,1161.49518331,625,505,32,0,0,1672,48,39,121,88,1045,0,3,332,240,1835,7,23,29.88548279,44.3271,372,0,144.628021099,280,42,74,3.3074,1252,1109.13378937,8,13,16,48604915,2730,291,288,13,385,34941,52,155,1,4,2,4,100.0,4,2,1,2,4707,145,15,149.810677289,4,19,31,64,29,93,0,20,11984.708333300001,0.0,10,269,123,138,133,224,763.19099975,29,655,379,1185.63213403,284,891,520,615,2013,1172.27740902,1850,7667,5724,13391,392,21,20333,379,67,1
Fulham,535,165,560.875861171,3018,765,1119.27985718,6130,7799,13929,1858.202587,517,1103.17785727,506,544,26,0,0,1588,38,36,143,53,963,1,0,266,207,1578,8,20,30.58532351,44.038199999999996,381,1,169.715557977,296,40,66,-5.4142,1128,1153.65120671,7,25,7,50317742,2687,302,324,18,389,35079,58,124,3,0,4,4,100.0,4,4,0,4,4381,90,30,155.791847728,0,15,18,59,31,91,1,15,11975.4722222,16.66666667,11,296,139,166,126,214,967.99833231,18,606,357,1189.88289096,324,1049,462,621,1645,1159.48403061,1708,7992,8624,16616,435,20,23219,316,70,0
